"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","CCA_LANDED_WEIGHT_MTONS","CCA_LANDED_WEIGHT_PPP","CCA_EXVESSEL_REVENUE","CCA_CONFIDENTIAL_FLAG","ERA_LANDED_WEIGHT_MTONS","ERA_LANDED_WEIGHT_PPP","ERA_EXVESSEL_REVENUE","ERA_CONFIDENTIAL_FLAG","BGA_LANDED_WEIGHT_MTONS","BGA_LANDED_WEIGHT_PPP","BGA_EXVESSEL_REVENUE","BGA_CONFIDENTIAL_FLAG","BDA_LANDED_WEIGHT_MTONS","BDA_LANDED_WEIGHT_PPP","BDA_EXVESSEL_REVENUE","BDA_CONFIDENTIAL_FLAG","SFA_LANDED_WEIGHT_MTONS","SFA_LANDED_WEIGHT_PPP","SFA_EXVESSEL_REVENUE","SFA_CONFIDENTIAL_FLAG","MNA_LANDED_WEIGHT_MTONS","MNA_LANDED_WEIGHT_PPP","MNA_EXVESSEL_REVENUE","MNA_CONFIDENTIAL_FLAG","MRA_LANDED_WEIGHT_MTONS","MRA_LANDED_WEIGHT_PPP","MRA_EXVESSEL_REVENUE","MRA_CONFIDENTIAL_FLAG","SBA_LANDED_WEIGHT_MTONS","SBA_LANDED_WEIGHT_PPP","SBA_EXVESSEL_REVENUE","SBA_CONFIDENTIAL_FLAG","LAA_LANDED_WEIGHT_MTONS","LAA_LANDED_WEIGHT_PPP","LAA_EXVESSEL_REVENUE","LAA_CONFIDENTIAL_FLAG","SDA_LANDED_WEIGHT_MTONS","SDA_LANDED_WEIGHT_PPP","SDA_EXVESSEL_REVENUE","SDA_CONFIDENTIAL_FLAG","CA2_LANDED_WEIGHT_MTONS","CA2_LANDED_WEIGHT_PPP","CA2_EXVESSEL_REVENUE","CA2_CONFIDENTIAL_FLAG","TOTAL_LANDED_WEIGHT_MTONS","TOTAL_LANDED_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"2010","C","GRND","FLAT","NOM. DOVER SOLE","DVR1",,,,"",,,,"*",.1,.28,87,"",,,,"",,,,"*",,,,"*",.1,.71,116,"",,,,"*",,,,"*",,,,"",,,,"",.2,,203,"*"
"2010","C","GRND","FLAT","NOM. ENGLISH SOLE","EGL1",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"2010","C","GRND","FLAT","ENGLISH SOLE","EGLS",,,,"",2,.32,1401,"",4.1,.34,3001,"",,,,"*",10.2,.45,10140,"",,,,"*",,,,"",,,,"",,,,"*",,,,"",,,,"",16.3,,14542,"*"
"2010","C","GRND","FLAT","FANTAIL SOLE","FNTS",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",.1,1.12,197,"",,,,"*",,,,"",,,,"",.1,,197,"*"
"2010","C","GRND","FLAT","HORNYHEAD TURBOT","HTRB",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"",0,1.23,60,"",5.1,1.53,17096,"",,,,"",,,,"",5.1,,17156,"*"
"2010","C","GRND","FLAT","PACIFIC SANDDAB","PDAB",,,,"*",,,,"*",,,,"",,,,"*",31.6,.53,36881,"",17.6,.65,25416,"",,,,"",.7,2.97,4565,"",2.8,3.47,21586,"",,,,"",,,,"",52.7,,88448,"*"
"2010","C","GRND","FLAT","NOM. PACIFIC SANDDAB","PDB1",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"2010","C","GRND","FLAT","NOM. PETRALE SOLE","PTR1",,,,"",,,,"",,,,"*",,,,"",,,,"*",,,,"",,,,"*",,,,"*",,,,"*",,,,"",,,,"",0,,0,"*"
"2010","C","GRND","FLAT","PETRALE SOLE","PTRL",,,,"*",55.4,1.09,133444,"",56.3,1.12,138653,"",,,,"*",56.4,1.18,146893,"",,,,"*",,,,"",.1,1.57,488,"",,,,"",,,,"",,,,"",168.2,,419478,"*"
"2010","C","GRND","FLAT","REX SOLE","REX",6.2,.33,4492,"",30.6,.33,22181,"",7.2,.35,5475,"",,,,"*",7.8,.38,6611,"",,,,"*",,,,"",,,,"",,,,"",,,,"",,,,"",51.8,,38759,"*"
"2010","C","GRND","FLAT","NOM. REX SOLE","REX1",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",1,.52,1150,"",,,,"*",,,,"*",,,,"",,,,"",1,,1150,"*"
"2010","C","GRND","FLAT","NOM. ROCK SOLE","RSL1",,,,"",,,,"",,,,"",,,,"",,,,"*",,,,"*",0,1.03,13,"",,,,"*",,,,"",,,,"",,,,"",0,,13,"*"
"2010","C","GRND","FLAT","ROCK SOLE","RSOL",,,,"",,,,"",,,,"",,,,"*",2.3,.59,3007,"",,,,"*",,,,"*",,,,"",,,,"",,,,"",,,,"",2.3,,3007,"*"
